Date,Part,Event
2024-04-20,0,Start of Playoffs
2024-04-24,0,Tyrese Maxey wins MIP
2024-04-25,0,Naz Reid wins 6MOTY
2024-04-28,0,Timberwolves wins series against Suns [4-0]
2024-04-29,0,Mark Daugneault wins COTY
2024-04-29,1,Thunder wins series against Pelicans [4-0]
2024-04-29,2,Nuggets wins series against Lakers [4-1]
2024-05-01,0,Celtics wins series against Heat [4-1]
2024-05-02,0,Pacers wins series against Bucks [4-2]
2024-05-02,1,Knicks wins series against 76ers [4-2]
2024-05-03,0,Mavs wins series against Clippers [4-2]
2024-05-05,0,Cavs wins series against Magic [4-3]
2024-05-05,1,End of 1st round
2024-05-07,0,Victor Wembanyama wins ROTY
2024-05-08,0,Rudy Gobert wins DOPY
2024-05-09,0,Nikola Jokic wins MVP
2024-05-15,0,Celtics wins series against Cavs [4-1]
2024-05-18,0,Mavs wins series against Thunder [4-2]
2024-05-19,0,Pacers wins series against Knicks [4-3]
2024-05-19,1,Timberwolves wins series against Nuggets [4-3]
2024-05-19,2,End of 2nd round
2024-05-27,0,Celtics wins series against Pacers [4-0]
2024-05-27,1,Jaylen Brown wins Eastern Conference FMVP
2024-05-30,0,Mavs wins series against Timberwolves [4-1]
2024-05-30,1,Luka Doncic wins Western Conference FMVP
2024-05-30,2,End of Conference Finals
2024-06-17,0,Celtics wins series against Mavs [4-1]
2024-06-17,1,Jaylen Brown wins Finals MVP
2024-06-17,2,End of Playoffs! Thanks for playing :)
